Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2005-02-27,Osasuna,Malaga,1,6,A,1.83,3.25,3.75,,,,,,,0,3,A,,,
SP1,2005-02-27,Sevilla,Santander,2,2,D,1.5,3.5,6.0,,,,,,,1,1,D,,,
SP1,2005-02-27,Valencia,Betis,2,1,H,2.0,3.3,3.6,,,,,,,1,1,D,,,
SP1,2005-02-27,Zaragoza,Villarreal,1,0,H,2.37,3.2,2.62,,,,,,,1,0,H,,,
SP1,2005-03-01,Barcelona,Espanol,0,0,D,1.4,4.33,7.5,,,,,,,0,0,D,,,
SP1,2005-03-02,Albacete,Osasuna,1,1,D,2.2,3.25,2.8,,,,,,,0,0,D,,,
SP1,2005-03-02,Getafe,La Coruna,1,1,D,2.62,3.2,2.37,,,,,,,0,1,A,,,
SP1,2005-03-02,Levante,Numancia,1,1,D,1.66,3.4,4.5,,,,,,,1,1,D,,,
SP1,2005-03-02,Malaga,Ath Bilbao,1,0,H,2.2,3.25,2.8,,,,,,,1,0,H,,,
SP1,2005-03-02,Real Madrid,Betis,3,1,H,1.5,3.5,6.0,,,,,,,2,0,H,,,
SP1,2005-03-13,Villarreal,Espanol,4,1,H,1.83,3.25,3.75,,,,,,,1,1,D,,,
SP1,2005-03-13,Sevilla,Zaragoza,0,1,A,1.72,3.25,4.33,,,,,,,0,1,A,,,
SP1,2005-03-13,Sociedad,Numancia,2,1,H,1.61,3.4,5.0,,,,,,,1,0,H,,,
SP1,2005-03-13,Levante,Osasuna,4,0,H,1.9,3.25,3.5,,,,,,,3,0,H,,,
SP1,2005-03-13,Getafe,Real Madrid,2,1,H,4.33,3.25,1.72,,,,,,,1,0,H,,,
SP1,2005-03-13,Ath Madrid,Valencia,1,0,H,2.37,3.2,2.62,,,,,,,1,0,H,,,
SP1,2005-03-13,Albacete,La Coruna,0,1,A,2.87,3.2,2.2,,,,,,,0,1,A,,,
SP1,2005-03-13,Santander,Mallorca,3,0,H,1.9,3.25,3.5,,,,,,,2,0,H,,,
SP1,2005-03-16,Ath Bilbao,Getafe,1,2,A,1.57,3.4,5.5,,,,,,,1,0,H,,,
SP1,2005-03-19,Betis,Albacete,2,1,H,1.5,3.5,6.0,,,,,,,1,0,H,,,
SP1,2005-03-19,Espanol,Sociedad,2,2,D,1.72,3.25,4.33,,,,,,,1,1,D,,,
SP1,2005-03-19,La Coruna,Barcelona,0,1,A,2.87,3.2,2.4,,,,,,,0,1,A,,,
SP1,2005-03-20,Ath Bilbao,Levante,3,1,H,1.66,3.4,4.5,,,,,,,1,0,H,,,
SP1,2005-03-20,Mallorca,Sevilla,0,1,A,2.3,3.2,2.7,,,,,,,0,1,A,,,
SP1,2005-03-20,Numancia,Santander,2,3,A,2.25,3.25,2.75,,,,,,,2,2,D,,,
SP1,2005-03-20,Real Madrid,Malaga,1,0,H,1.33,4.33,7.5,,,,,,,0,0,D,,,
SP1,2005-04-23,Osasuna,Ath Madrid,1,0,H,2.4,3.2,2.6,,,,,,,1,0,H,,,
SP1,2005-04-23,Real Madrid,Villarreal,2,1,H,1.53,3.6,6.5,,,,,,,0,1,A,,,
SP1,2005-04-24,Valencia,Albacete,2,0,H,1.33,4.33,7.5,,,,,,,0,0,D,,,
SP1,2005-04-24,Numancia,Mallorca,1,2,A,2.2,3.25,2.8,,,,,,,0,0,D,,,
SP1,2005-04-24,Malaga,Barcelona,0,4,A,5.5,3.6,1.61,,,,,,,0,2,A,,,
SP1,2005-04-24,La Coruna,Santander,1,4,A,1.53,3.4,6.0,,,,,,,1,0,H,,,
SP1,2005-04-24,Getafe,Levante,1,0,H,1.9,3.25,3.5,,,,,,,1,0,H,,,
SP1,2005-04-24,Espanol,Zaragoza,3,1,H,1.9,3.25,3.5,,,,,,,2,0,H,,,
SP1,2005-04-24,Betis,Sociedad,2,3,A,1.57,3.6,5.0,,,,,,,0,1,A,,,
SP1,2005-04-24,Ath Bilbao,Sevilla,1,3,A,2.2,3.25,2.8,,,,,,,0,2,A,,,
SP1,2005-04-28,Osasuna,Villarreal,3,2,H,2.6,3.2,2.4,,,,,,,1,1,D,,,
SP1,2005-04-30,Ath Madrid,Ath Bilbao,1,1,D,1.9,3.2,3.5,,,,,,,0,0,D,,,
SP1,2005-04-30,Numancia,Valencia,1,1,D,4.0,3.4,1.72,,,,,,,0,0,D,,,
SP1,2005-04-30,Sociedad,Real Madrid,0,2,A,4.33,3.3,1.83,,,,,,,0,0,D,,,
SP1,2005-05-01,Villarreal,Getafe,4,0,H,1.4,3.75,7.0,,,,,,,2,0,H,,,
SP1,2005-05-01,Sevilla,La Coruna,2,0,H,1.9,3.2,3.5,,,,,,,2,0,H,,,
SP1,2005-05-01,Zaragoza,Osasuna,5,1,H,1.72,3.2,4.33,,,,,,,2,0,H,,,
SP1,2005-05-01,Mallorca,Espanol,3,2,H,2.37,3.1,2.62,,,,,,,0,1,A,,,
SP1,2005-05-01,Levante,Malaga,0,1,A,1.83,3.2,3.75,,,,,,,0,1,A,,,
SP1,2005-05-01,Santander,Betis,1,1,D,2.5,3.1,2.5,,,,,,,0,0,D,,,
SP1,2005-05-01,Barcelona,Albacete,2,0,H,1.16,6.5,15.0,,,,,,,0,0,D,,,
SP1,2005-05-07,Real Madrid,Santander,5,0,H,1.25,5.5,11.0,,,,,,,2,0,H,,,
